name,capacity_mw,latitude,longitude,primary_fuel
Manston Solar Farm extension (Westwood),9.2,51.3519,1.3745,Solar
March,1.5,52.5713,0.1215,Wind
Marchington Solar Farm,4.3,52.8780,-1.8320,Solar
Marchwood,842.0,50.8998,-1.4384,Gas
Marchwood ERF,16.0,50.8981,-1.4553,Waste
Margam Green Energy Plant,40.0,51.5633,-3.7479,Biomass
Margate,3.366,50.4671,-4.6976,Solar
Mark Hill,56.0,55.1284,-4.7463,Wind
Mark's Quarry,1.0,54.8124,-1.5114,Waste
Markinch CHP,65.0,56.2012,-3.1623,Cogeneration
Markley Group (Premiere Kitckens) Biomass,2.1,51.8101,-2.2820,Biomass
Marley Thatch Solar Farm,6.3,50.4248,-3.8093,Solar
Marr Windfarm,8.0,53.5330,-1.2397,Wind
Marsh Farm,14.0,51.6264,-2.1108,Solar
Marsh Farm  (Farm AD),1.4,53.0336,0.1569,Biomass
Marsh Farm Hilperton,9.1,51.3422,-2.1856,Solar
Marsh House Solar Park,5.5,51.2056,-0.8486,Solar
Marshborough Farm solar park (resubmission),5.0,51.2774,1.3072,Solar
Marshill Farm,1.5,55.6871,-3.9334,Wind
Marshwood Farm,1.8,50.8394,-2.9370,Solar
Marston,4.51136,52.9692,-0.6907,Solar
Marston Vale Country Park Wind Turbine,1.5,52.0647,-0.5354,Wind
Masons Power Plant Landfill Scheme,5.5,52.1089,1.0813,Waste
Maw Green Landfill Site,1.6,53.1139,-2.4228,Waste
Maw Green Landfill Site  Cheshire (Extension),2.0,53.1139,-2.4228,Waste
Mawdesley Moss,2.3,53.6335,-2.7803,Wind
May Farm Anaerobic Digester (Farm AD),2.4,52.4546,0.3521,Biomass
Mayton Wood Landfill Site,1.5,52.7381,1.3256,Waste
McCain Foods AD Plant (AD),1.0,52.5594,-0.1752,Biomass
Meadow Farm (Thorpe Lanton),4.998,52.5433,0.5440,Solar
Meadow Hall Power,1.1,53.4260,-1.4070,Waste
Meall an Tuirc Wind Farm,17.0,57.7100,-4.4270,Wind
Medway,700.0,51.4396,0.6894,Gas
Meece Landfill,1.3,52.9023,-2.2185,Waste
Meikle Carewe,10.2,57.0188,-2.2783,Wind
Melton Waste Park (resubmission),5.0,53.7172,-0.5336,Wind
Mendennick Solar,2.64,50.3550,-4.2407,Solar
Mepal CHP,14.4,52.4284,0.0878,Biomass
Merevale & Blyth Estate (Waste AD),2.0,52.5711,-1.5867,Biomass
Merston,4.999,50.8181,-0.7317,Solar
Meteor Business Park,1.5,51.8965,-2.1712,Storage
Metheringham Heath (Farm AD),6.5,53.1334,-0.4721,Biomass
Methlick Farmers Wind Energy Project,12.0,57.4276,-2.2431,Wind
Mid Hill,75.9,56.9688,-2.4862,Wind
Mid Hill I,57.5,56.9688,-2.4862,Wind
Mid Suffolk Home Solar Scheme,4.8,52.1541,1.0391,Solar
Middle Balbeggie,5.0,56.1479,-3.1467,Solar
Middle Balbeggie,4.0,56.1537,-3.1645,Wind
Middle Muir Wind Farm,51.0,55.5129,-3.8040,Wind
Middle Treworder Farm,5.0,50.5036,-4.8437,Solar
Middlemoor,54.0,55.4986,-1.7678,Wind
Middleton,12.0,55.7751,-4.3426,Wind
Middlewick,20.7,51.6631,0.8925,Wind
Milborne Port Solar Farm,4.2,50.9755,-2.4541,Solar
Mill Farm (resubmission),5.0,51.9074,-0.0466,Solar
Mill Hill Farm,5.0,54.0956,-1.0323,Solar
Millar Farm,7.21088,54.7415,-6.2388,Solar
Millennium,65.0,57.1552,-4.8836,Wind
Millennium Extension,10.0,57.1502,-4.8912,Wind
Millennium Windfarm,40.0,57.1552,-4.8836,Wind
Millerhill AD (Waste AD),1.5,55.9255,-3.0834,Biomass
Millour Hill Community Windfarm (Extension) resubmission,6.4,55.7358,-4.7809,Wind
Millour Hill Community Windfarm (Re-submission),18.0,55.7307,-4.7750,Wind
Milton Keynes Waste Recovery Park,7.0,52.0672,-0.8149,Biomass
Milton Keynes Wind Farm,14.0,52.1328,-0.6865,Wind
Milton Landfill Site,2.0,52.2406,0.1561,Waste
Milton of Fisherie Wind Cluster,4.6,57.6204,-2.4191,Wind
Mingay Farm - extension,19.3,52.3351,0.1571,Solar
Minnygap (Resubmission),25.0,55.2488,-3.5148,Wind
Minsca,36.8,55.1221,-3.3529,Wind
Minsworth Sewage Treatment Works,9.7,52.5318,-1.7540,Waste
Misson Solar Farm,5.0,53.4454,-0.9810,Solar
Moel Maelogen A,2.6,53.1363,-3.7250,Wind
Moel Maelogen A Phase 2,11.7,53.1363,-3.7250,Wind
Mogden STW,5.8,51.4643,-0.3402,Waste
Molehill Farm,18.0,51.3566,1.0854,Solar
Molly Mountain,15.0,54.1979,-7.6365,Wind
Monan Hill Wind Turbines,1.5,57.9417,-6.8318,Wind
Moneystone Quarry Solar Farm (resubmission),5.0,53.0133,-1.9333,Solar
Monksham Solar Farm,10.7,51.1846,-2.3358,Solar
Monnaboy Wind Farm,12.0,54.9791,-7.1341,Wind
Monty's Farm  Taunton,4.61032,51.0319,-3.1666,Solar
Moor House Wind Farm (resubmission),12.0,54.5746,-1.4972,Wind
Moorhouse Farm,1.0,55.9039,-2.2508,Wind
Moorhouse Farm,5.0,54.6140,-3.5300,Solar
Moorhouse Lane - resubmission,1.8,51.5149,-2.6576,Solar
Morayhill AD,2.0,57.5182,-4.0889,Biomass
Morfa Farm,2.0,51.4216,-3.4977,Solar
Mornflake Oats Wind Turbine,2.3,57.6599,-2.6462,Wind
Morrisons roof mounted solar,2.0,51.3717,0.7454,Solar
Morton House (Marchington),6.2,52.8738,-1.7764,Solar
Morton Wood Farm,4.8,52.1813,-1.9568,Solar
Moss Thorn Farm,5.8,54.6678,-2.7983,Solar
Mossmorran,4.6,56.0905,-3.3177,Wind
Mount Farm,22.0,52.0719,-1.9102,Solar
Mount Mill Farm - resubmission,12.0,52.0394,-0.8943,Solar
Mountsorrel Landfill Site,1.6,52.7296,-1.1559,Waste
Moy,60.0,57.3888,-4.0488,Wind
Mucking Gas 2 Landfill Scheme,3.8,51.4939,0.4244,Waste
Mucking Gas 3 Landfill Scheme,3.9,51.4939,0.4244,Waste
Mucomir,1.75,56.9107,-4.9852,Hydro
Muirake,4.6,57.6114,-2.7244,Wind
Muirhall,12.3,55.7669,-3.5858,Wind
Muirhall Extension,6.8,55.7584,-3.6055,Wind
Muirhall South,8.3,55.7584,-3.6055,Wind
Mullardoch Tunnel,2.4,57.3387,-4.9449,Hydro
Munceys Farm,31.6,52.0649,0.0110,Solar
Mynydd Brombil,8.0,51.5830,-3.7457,Wind
Mynydd Bwllfa Wind Farm - Resubmission,22.5,51.7147,-3.5098,Wind
Mynydd Clogau,14.5,52.5784,-3.4285,Wind
Mynydd Gorddu,10.2,52.4663,-3.9710,Wind
Mynydd Portref,9.35,51.5564,-3.4597,Wind
Mynydd Portref Wind Farm extension,12.0,51.5604,-3.4496,Wind
Mynydd Y Gwair Wind Farm (resubmission),32.8,51.7492,-3.9381,Wind
Mynydd Y Gwrhyd Windfarm (resubmission),4.7,51.7784,-3.8472,Wind
Mynydd y Betws,34.5,51.7728,-3.9290,Wind
Myres Hill,1.8,55.6919,-4.2790,Wind
Myreton Crossroads,1.6,57.5990,-2.8425,Wind
NEILSTON WIND FARM,9.2,55.7541,-4.4667,Wind
NI Cluster Lough Road,5.39904,54.5584,-6.1909,Solar
NI Cluster Moira Road,5.93712,54.6077,-6.1899,Solar
NOTTINGTON LANE SOLAR FARM,5.0,50.6433,-2.5063,Solar
Nancrossa Farm solar park,6.0,50.1601,-5.1833,Solar
Nant,15.0,55.9846,-4.8210,Hydro
Nant y Caws Landfill Site,1.4,51.8369,-4.2192,Waste
Nanteague Farm,7.7,50.3062,-5.0951,Solar
Nanterrow Farm,4.7,50.2179,-5.3681,Solar
Nanthenfoel Farms,5.0,52.1511,-4.1352,Solar
Narborough Landfill,2.7,52.5728,-1.2268,Waste
Nash Waste Water Treatment Works Turbine,2.5,51.5511,-2.9591,Wind
Natewood Farm,8.9,50.8450,0.2357,Solar
National Wind Turbine Test Site,4.7,55.6907,-4.2844,Wind
Nectar Way Regional Distribution Centre,1.0,52.2200,-0.9617,Solar
Nefyn (Tyddyn Cae),4.92154,52.9138,-4.4789,Solar
Ness point Wind Turbine 1,2.3,52.4804,1.7610,Wind
Nether Mill Farm (resubmission),3.1,50.8993,-3.3952,Solar
Nethercott Farm,1.5,50.7443,-4.3354,Wind
Netherfield Lane,19.7,53.2311,-1.0914,Solar
Netherton of Windyhills,4.6,57.6027,-2.8559,Wind
Netley Landfill Site  Hampshire (Extension),1.2,50.8894,-1.3374,Waste
Nevis Range,1.1,56.8470,-4.9453,Hydro
New Albion Wind Farm,14.4,52.4502,-0.7554,Wind
New Barn Farm - Burnley,4.5,53.7732,-2.3034,Wind
New Holland,1.0,58.9133,-2.8689,Wind
New Mains of Guynd,3.98784,56.5740,-2.7091,Solar
New Rendy Farm,4.8,51.0074,-3.2012,Solar
New Row Farm,3.9,51.2042,-2.5281,Solar
New Stone House,12.5,51.8680,-1.1824,Solar
Newlands Farm (East Devon),5.0,50.7726,-2.9510,Solar
Newlands Farm Solar Park,4.99928,50.8313,-1.1961,Solar
Newlincs EfW,3.2,53.6019,-0.1638,Waste
Newnham Estate,14.0,50.4085,-4.0295,Solar
Newnton Dairy,7.176,51.6265,-2.1130,Solar
Newport (Began Road),4.9,51.5508,-3.1003,Solar
Newry Biomass Phase 1 (Gasification),2.0,54.2175,-6.3367,Biomass
Newstead and Annesley Wind Turbine,1.5,53.0753,-1.2178,Wind
Newthorpe Wind Turbine,2.5,52.9988,-1.2979,Wind
Newton Down,5.0,51.5022,-3.6690,Wind
Newton Downs Farm,5.0,50.3264,-4.0303,Solar
Newton Ferrers,19.501,50.4741,-4.3163,Solar
Newton Margate,1.5,50.4709,-4.6998,Solar
Newton Marsh Wind Project,4.6,53.5093,0.0090,Wind
Next Distribution Centre Doncaster,2.5,53.5380,-1.0335,Solar
Ninnis Farm Solar,5.0,50.3197,-4.8354,Solar
Nissan Motors Plant Extn,2.0,54.9139,-1.4808,Wind
Nissan Test Track,4.8,54.9206,-1.4669,Solar
Nissan Wind Farm,4.0,54.9139,-1.4808,Wind
Noble Foods,1.5,56.1641,-3.1593,Wind
Noriker Power Staunch,20.0,53.0329,-2.2433,Storage
Norlands Lane Landfill Site,2.7,51.4153,-0.5275,Waste
Norlands Lane Landfill Site (Extension),4.0,51.4115,-0.5139,Waste
Norrington,11.145,51.3833,-2.1701,Solar
North Creake Airfield (Resubmission),20.0,52.9057,0.8302,Solar
North East Energy Recovery Centre (adjacent to Teesside EfW),21.0,54.5969,-1.2583,Waste
North East of Ainderby Steeple,5.9,54.3236,-1.4877,Solar
North Farm (Spetisbury),11.6,50.8182,-2.1698,Solar
North Hoyle,60.0,53.4172,-3.4486,Wind
North Moor Farm AD Plant (Farm AD),4.0,53.5745,-0.7941,Biomass
North Norfolk Business Centre Solar Park,11.0,52.9011,1.3070,Solar
North Of Field Barn,1.0,52.0300,-1.4748,Solar
North Pickenham,14.4,52.6292,0.7321,Wind
North Pickenham Airfield,4.0,52.6256,0.7335,Wind
North Quay ERF,18.3,50.7961,0.0944,Waste
North Red Bog,1.6,57.5876,-2.0091,Wind
North Rhins,22.0,54.8771,-5.0881,Wind
North Steads Wind Farm,18.5,55.2650,-1.6248,Wind
North Tamar Environ Project - Holsworthy  (Farm AD),1.4,50.8280,-4.3520,Biomass
North Tenement,5.0,51.7771,-4.9882,Solar
North Wayton Farm,5.0,50.4420,-4.2170,Solar
North Yard EfW,22.5,50.3971,-4.1849,Waste
North Yell Wind Farm (Garth Community Wind Farm),4.5,60.6661,-1.0052,Wind
North of Newton Farm,3.0,50.7449,-2.0951,Solar
Northampton General Hospital,1.9,52.2365,-0.8819,Biomass
Northmoor,5.0,50.7510,-4.4506,Solar
Northwick Estate (Extension),2.2,52.0196,-1.8032,Solar
Norton Fields Farm,1.3,52.1643,-2.1427,Wind
Norton Hall,2.8,52.1011,-1.7870,Solar
Nova Scotia Farm solar park,13.9,52.6618,1.7012,Solar
Novar 2,36.8,57.7100,-4.4270,Wind
Nowhere Farm,8.1,52.9259,-0.1057,Solar
Nutberry,15.0,55.5995,-3.9216,Wind
Oak Cottage,4.8672,51.8233,-4.8613,Solar
Oak Grove Biomass Facility,2.0,52.7686,1.3564,Biomass
Oak Grove Farm,5.7,51.6107,-2.7209,Solar
Oakdale,4.0,51.6869,-3.1714,Wind
Oakfield Farm,5.0,53.7719,-2.8103,Solar
Oakfield Farm - extension,1.7,53.7722,-2.8066,Solar
Oakham,4.639,51.5458,-2.5796,Solar
Oaklands Farm - resubmission,6.9,51.1682,0.8078,Solar
Oaklands Plantation,5.0,50.7055,-2.1436,Solar
Oatslie Landfill Gas,2.0,55.8556,-3.1645,Waste
Ockendon 'B' Landfill Scheme,4.5,51.5141,0.3117,Waste
Ockendon Area III,8.5,51.5248,0.3180,Waste
Odell Glebe Solar Farm,16.8,52.2317,-0.5968,Solar
Offham Landfill Site Phase II,1.2,51.2919,0.3593,Waste
Office Field,7.2,50.7569,-1.7037,Solar
Old Rides solar Farm,8.0,51.3929,0.8695,Solar
Oldbury,40.0,52.5169,-2.0288,Biomass
Oldside Wind Farm,5.4,54.6596,-3.5564,Wind
Ongar Landfill Scheme,1.0,51.6982,0.2595,Waste
Ongar Landfill Scheme 2,1.8,51.6977,0.2588,Waste
Ora More,15.0,54.3385,-7.8959,Wind
Orchard End Windfarm,4.1044,53.9001,-2.8657,Wind
Orchard Farm,10.0,51.3698,0.6989,Solar
Ormonde,150.0,54.0889,-3.4386,Wind
Orrin,18.0,57.5294,-4.5585,Hydro
Orton Park Farm,1.6,54.8690,-3.0067,Wind
Otherton Farm,4.0,52.1854,-2.2862,Solar
Otterham Down Wind Farm (Resubmission),3.2,50.6849,-4.6103,Wind
Oulton Airfield Solar Farm (Phase 1),5.0,52.7975,1.1839,Solar
Out Newton,9.1,53.6689,0.0994,Wind
Outwood Farm (Phase 1),5.0,51.6219,0.4467,Solar
Ovenden Moor,9.2,53.7708,-1.9408,Wind
Overton Solar Park,3.75232,51.2497,-1.2739,Solar
Oving Solar Farm,5.0,50.8373,-0.7054,Solar
Owenreagh Extension,5.1,54.8066,-7.3341,Wind
Owenreagh Wind Farm,5.0,54.8097,-7.3390,Wind
Owl's Hatch Solar Park,51.9376,51.3516,1.0986,Solar
Owls Lodge,10.00465,51.1843,-1.3737,Solar
Owls Lodge Farm Extension,5.0,51.1876,-1.3674,Solar
Oxcroft,4.189,53.2639,-1.3044,Solar
Oxcroft Solar Farm,1.0,53.2585,-1.2924,Storage
PARK WOOD SOLAR FARM,5.0,51.1052,-2.6728,Solar
PG1-Coxhoe Waste Disposal Site,3.8,54.7242,-1.4923,Waste
PG2 Bolam Power Generation,1.0,54.6027,-1.7059,Waste
PG2 Bolam Power Generator (Extension),1.1,54.6027,-1.7059,Waste
PG4 St Bedes Power Generation,2.0,54.8908,-1.5868,Waste
PG4 St Bedes Power Generation (Extension 2),1.0,54.8908,-1.5853,Waste
PG4 St Bedes Power Generation (Extension),2.0,54.8908,-1.5884,Waste
PROMISED LAND FARM,1.0,53.5113,-2.7378,Wind
Packington Generation Plant Phase 3,8.5,52.4697,-1.6908,Waste
Packington Solar Farm,13.9,52.7073,-1.4725,Solar
Paddock Wood,9.2,51.1726,0.4120,Solar
Padleywood Farm,5.0,53.1481,-1.3870,Solar
Pant y wal,25.0,51.6129,-3.5050,Wind
Pant y wal extension,20.0,51.5872,-3.5220,Wind
Pant-Y-Moch Farm,5.0,51.5998,-3.7646,Solar
Parabel North Beer Solar Farm,6.8,50.7013,-4.4025,Solar
Parc Adfer EfW,16.0,53.2368,-3.0343,Waste
Parc Cynog,5.0,51.7592,-4.5337,Solar
Parc Cynog,3.6,51.7569,-4.5297,Wind
Parc Cynog Extension,8.4,51.7592,-4.5337,Wind
Parciau Farm Solar Park,13.9,53.1653,-4.2414,Solar
Parham Airfield (Great Glenham),17.5,52.1965,1.4101,Solar
Park Farm,4.0,50.8059,-0.7170,Solar
Park Lane,1.0,52.6840,-1.7649,Solar
Park Spring,8.55,53.5740,-1.4021,Wind
Park Wall Solar Park,5.0,51.1195,-2.9710,Solar
ParkerSteel Shoreham Plant,1.8,50.8281,-0.2152,Solar
Parkhill Solar Farm,5.0,56.6038,-2.5860,Solar
Parkhouse Corner (Orta Solar),6.6,51.1955,-1.6752,Solar
Parklands,4.6,51.5574,-2.5519,Solar
Parkview solar park,6.5,50.5047,-3.7497,Solar
Parkwood Landfill Scheme,1.2,53.4039,-1.4795,Waste
Partridge Farm,10.6,51.1022,0.9765,Solar
Pashley Farm,11.5,50.8732,0.4275,Solar
Pates Hill,14.0,55.8164,-3.6113,Wind
Path Head,1.0,54.9648,-1.7281,Waste
Patteson Court Landfill Site,1.8,51.2435,-0.1490,Waste
Paul's Hill,64.0,57.4462,-3.4762,Wind
Paulsgrove Landfill Site,2.4,50.8365,-1.0925,Waste
Pearie Law,19.2,55.8205,-3.5624,Wind
Pebble Hall Farm - resubmission - Food Waste AD,4.0,52.4550,-1.0283,Biomass
Pebsham,3.0,50.8533,0.5204,Waste
Pebsham (Extension),1.0,50.8533,0.5204,Waste
Peckfield Quarry Landfill Scheme,3.9,53.7825,-1.3413,Waste
Pelham,49.0,51.9374,0.1192,Storage
Pembroke,2180.0,51.6850,-4.9900,Gas
Pen Bryn Oer Wind Farm,4.0,51.7749,-3.2759,Wind
Pen Rhiw,4.748005,51.6725,-3.3811,Solar
Pen y Bont,2.3,52.9671,-3.0556,Waste
Pen y Cymoedd,228.0,51.6555,-3.6957,Wind
Pen-Y-Cae,6.76227,51.7874,-4.0291,Solar
Pen-Y-Fan A,6.0,51.7008,-3.1691,Solar
Penare Farm Solar Farm,11.0,50.3037,-5.0755,Solar
Pencoose,8.145,50.1987,-5.1691,Solar
Pengelly Barton Farm,1.0,50.1422,-5.3398,Biomass
Penmanshiel Wind Farm,28.7,55.8969,-2.3213,Wind
Pennington Recycling Centre,1.2,50.7387,-1.5632,Solar
Penny Hill Lane,19.8,53.3834,-1.2975,Wind
Penrhiwarwydd Farm,8.5,51.6327,-3.1582,Solar
Penrhys Wind Farm/Ferndale Power Factory,6.4,51.6511,-3.4512,Wind
Pensipple Farm,5.0,50.4073,-4.4518,Solar
Pentland Road,13.8,58.2572,-6.5108,Wind
Pentre farm,5.5,51.7587,-4.1224,Solar
Pentylands Farm,19.0,51.6530,-1.7305,Solar
Penycae Solar Farm,5.0,52.9888,-3.0596,Solar
Peterborough,240.0,52.5769,-0.2040,Gas
Peterborough EfW,7.3,52.5752,-0.2062,Waste
Peterhead,1180.0,57.4772,-1.7889,Gas
Peterlee Solar Farm,5.0,54.7752,-1.3655,Solar
Philip Dennis Food Service,3.8,51.0650,-4.0878,Storage
Pierces Farm,1.74,51.4006,-1.0222,Solar
Pilsworth Landfill Site,5.0,53.5771,-2.2699,Storage
Pilsworth Quarry Landfill Scheme,4.1,53.5836,-2.2583,Waste
Pingewood Road South,15.8,51.4175,-1.0144,Solar
Pingry Farm - Phase 1,3.4,51.7819,-2.6230,Solar
Pingry Farm - Phase 2,3.4,51.7819,-2.6230,Solar
Pinguin Foods,1.5,52.9651,-0.0195,Solar
Pitchford,10.2,52.6223,-2.7131,Solar
Pitlochry,15.0,56.6991,-3.7406,Hydro
Pitsea Landfill Scheme,11.6,51.5370,0.5104,Waste
Pitsea Tipp,14.0,51.5371,0.5089,Waste
Pitts Farm (revised application),2.6,51.2138,-2.5858,Solar
Pitworthy Farm Solar Park,18.0,50.8214,-4.4275,Solar
Place Barton Farm,4.9,50.3601,-3.7473,Solar
Plascow wind cluster (resubmission),2.4,54.9563,-3.7602,Wind
Playters,8.6295,52.4393,1.5874,Solar
Plusterwine House - Anaerobic Digestion Plant (Retrospective),1.5,51.6908,-2.5877,Biomass
Pogbie Wind Farm 1,5.1,55.8218,-2.8330,Wind
Pogbie Wind Farm 2,4.8,55.8395,-2.8421,Wind
Point Wind / Beinn Ghrideag Farm,9.0,58.2079,-6.4807,Wind
Pollington Solar Farm,5.0,53.6821,-1.0867,Solar
Pollnalaght (Cornavarrow),38.4,54.5683,-7.4410,Wind
Polmaugan Farm,5.0,50.4295,-4.6633,Solar
Pond Farm Solar Farm,3.60354,52.9011,1.1682,Solar
Pont Andrew,1.5443,51.7753,-4.1376,Solar
Poole Generation Plant,2.4,50.9875,-3.2095,Waste
Popehill Farm,5.0,51.7737,-4.9877,Solar
Poplars Anaerobic Digestion Facility (Waste AD),6.0,52.6841,-2.0100,Biomass
Port of Barry (Resubmission) - Site 1,4.5,51.3962,-3.2543,Solar
Port of Barry (Resubmission) - Site 2,5.0,51.3962,-3.2543,Solar
Port of Liverpool,10.0,53.4496,-3.0050,Wind
Port of Sheerness Wind Farm Ltd,8.2,51.4430,0.7479,Wind
Port of Tilbury,9.2,51.4573,0.3368,Wind
Port of Tyne,35.0,54.9773,-1.4559,Storage
Portley Ford Landfill Site,1.8,52.3871,-1.0331,Waste
Portsmouth ERF,14.0,50.8220,-1.0542,Waste
Porvair International Ltd,1.8,52.7700,0.3876,Solar
Potato Pot,7.2,54.6027,-3.5031,Wind
Potters Bar Solar Farm,5.0,51.7091,-0.2051,Solar
Pressock Farm,5.0,56.6350,-2.7043,Solar
Preston Road AD Plant (Waste AD),2.8,54.6058,-1.5803,Biomass
Prestop Park,15.852,52.7568,-1.4990,Solar
Priest Weston,1.0,52.5693,-3.0504,Solar
Primrose Hill,4.3452,53.2743,-0.2944,Solar
Princes Gate Spring Water,1.6,51.7720,-4.6844,Wind
Priors Byne Farm,7.6,50.9463,-0.3422,Solar
Promens,1.648525,52.4375,1.5957,Solar
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),2.0,53.5369,-1.1374,Biomass
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,3.0,53.5369,-1.1374,Biomass
Pulteney Distillery,3.5,58.4347,-3.0855,Biomass
Pure Malt Products AD,1.5,55.9566,-2.7707,Biomass
Puriton,4.5677,51.1757,-2.9675,Solar
Puriton Landfill Solar Farm,11.4,51.1788,-2.9784,Solar
PwllfaWatkin Landfill Gas Site,3.2,51.7355,-3.8602,Waste
Pyde Drove,7.0,51.1781,-2.9237,Solar
Pylle Southern solar park (Lower Easton Farm),5.0,51.1463,-2.5395,Solar
QE2 Reservoir,6.33765,51.3897,-0.3096,Solar
Quarrendon Fields,1.5,51.8424,-0.8360,Wind
Queen's Park Road Energy,1.8,53.7970,-2.2278,Waste
Queens Park Energy,1.9,53.7994,-2.2196,Waste
Quixwood Moor,29.9,55.8674,-2.3527,Wind
ROOKERY FARM SOLAR FARM,5.3,52.3184,-0.3831,Solar
RUDGE FARM SOLAR FARM,7.0,51.4204,-1.6067,Solar
Race Bank (Phase 1),286.5,53.1360,0.5892,Wind
Race farm,6.1,50.7482,-2.0614,Solar
Radcliffe,4.1574,52.9356,-1.0591,Solar
Raglington Farm Solar Park,4.6452,50.9179,-1.2323,Solar
Rainbow,4.7907,52.0702,-1.8610,Solar
Rainham Landfill Scheme  Phase I,3.9,51.4903,0.1938,Waste
Rainham Phase II,17.0,51.4903,0.1938,Waste
Rampion Offshore Wind Farm (Hastings Zone),400.0,50.6400,-0.1800,Wind
Rampisham North,5.0,50.8099,-2.6388,Solar
Rampton Hospital Energy Centre,1.2,53.2904,-0.8382,Biomass
Ramsey,1.8,52.4469,-0.1063,Wind
Ramsey 2 Wind Farm,8.2032,52.4681,-0.1224,Wind
Rannoch,45.0,56.6333,-4.3667,Hydro
Ranson Moor (phase 1),6.0,52.5127,0.0314,Wind
Ranson Moor Wind Farm (Phase 2),4.0,52.5106,0.0373,Wind
Ratcliffe,2000.0,52.8653,-1.2550,Coal
Ratcliffe GT,34.0,52.8653,-1.2550,Gas
Rathsherry (Revised Application),21.0,54.9515,-6.1757,Wind
Ratty's Lane Sustainable Enery Facility (Waste AD),3.0,51.7671,0.0003,Biomass
Ravens Close,5.0,54.1308,-2.5520,Solar
Raventhorpe Farm,38.0,53.5604,-0.5813,Solar
Ray,54.4,55.1822,-2.0714,Wind
ReFood - Dagenham Docks Biogas (Waste AD),1.4,51.5241,0.1364,Biomass
Reaches Farm Solar Park,6.1,52.5594,0.5641,Solar
Reaps Moss Wind Farm (resubmitted),10.2,53.7002,-2.1671,Wind
Rectory Farm/Emberton,9.0,52.1367,-0.6927,Solar
Red Gap Moor Wind Farm,12.5,54.6468,-1.3206,Wind
Red Hill Farm,4.8,50.9549,-3.3028,Solar
Red Tile,24.0,52.4305,-0.0292,Wind
Redbridge Road,6.4,50.6940,-2.3130,Solar
Redcourt Farm,3.3,51.8493,-4.3548,Solar
Redhall Industrial Estate,5.0,53.6967,-0.0637,Solar
Redhill 2,3.0,51.2354,-0.1464,Waste
Redlands Farm,6.2,51.1129,-2.8192,Solar
Reepham Road (Waste AD),1.5,52.7008,1.2028,Biomass
Reliance Street Mechanical Biological Treatment Facility (MBT),2.0,53.5041,-2.1807,Biomass
Reservoir Road (Farm AD),1.1,54.3203,-6.2893,Biomass
Rew Farm Solar Farm,6.1,50.4189,-4.6895,Solar
Rexton Cross,2.0,50.6755,-4.2466,Solar
Reydon Farm (resubmission),3.9,52.3403,1.6467,Solar
Rheidol,55.975,52.4076,-3.8772,Hydro
Rhewl Farm,6.0,51.6340,-2.7312,Solar
Rhodders,12.3,56.2042,-3.7824,Wind
Rhosygilwen Solar Farm,1.0,52.0352,-4.6212,Solar
Rhug Estate,1.2,52.9875,-3.4446,Solar
Rhyd-y-Pandy Solar Farm,6.0,51.6965,-3.9394,Solar
Rhyl Flats,90.0,53.3776,-3.6402,Wind
Rickfield Farm solar park,1.0,52.0035,-1.4136,Solar
Ridham CHP Plant,25.0,51.3823,0.7588,Biomass
Rigby Landfill,3.0,53.6098,-2.6178,Waste
Rigged Hill,5.0,55.0219,-6.8198,Wind
Ring O Bells Farm,5.0,51.4890,-2.3961,Solar
Rise Carr  Darlington / CLNR EES3-1,2.5,54.5463,-1.5592,Storage
Risley,2.0,53.4376,-2.5024,Waste
Risley '4' Landfill Scheme,5.9,53.4372,-2.5057,Waste
Risley Sets 13 & 14,2.1,53.4354,-2.5057,Waste
River Coiltie Hydro Scheme,1.9,57.3167,-4.5048,Hydro
River E,3.0,57.2135,-4.4506,Hydro
River Lochy Hydro,2.0,56.4049,-4.9226,Hydro
River Pattack (resubmission),2.0,56.9166,-4.3855,Hydro
River Taodail Hydro,1.4,57.4231,-5.4216,Hydro
Riverside Industrial Estate Gasification Plant,10.5,52.9572,-0.0129,Biomass
Riverside Resource Recovery Facility (RRRF),72.0,51.4683,0.1178,Waste
Riverside Sewage Treatment Works Digestion Plant,4.0,51.5164,0.1855,Waste
Roanhead Farm,6.5,54.1745,-3.2097,Solar
Robin Rigg East,90.0,54.7642,-3.6955,Wind
Robin Rigg West,90.0,54.7473,-3.7293,Wind
Rock Farm / Goldborough Farm (Rookwood),5.0,51.5196,-1.8807,Solar
Rocksavage,810.0,53.3147,-2.7232,Gas
Rodbaston,2.052,52.7024,-2.1172,Wind
Rodbourne Rail Farm - Solar Park,7.6,51.5612,-2.0994,Solar
Rolleston Park Farm,18.7,52.8397,-1.6854,Solar
Rolls Royce Filton Campus Building 184,1.4,51.5246,-2.5713,Solar
Rolls Royce Filton Campus Building 185,1.8,51.5246,-2.5713,Solar
Rookery Business Park,5.0,52.5353,1.0661,Solar
Rookery Farm,3.8,50.8061,-0.6235,Solar
Roos,17.1,53.7518,-0.0697,Wind
Roosecote,49.0,54.1052,-3.1900,Storage
Rose And Crown Farm,30.0,52.7121,0.1965,Solar
Rosedew Farm,5.0,51.3976,-3.4707,Solar
Rosehall,24.7,57.9956,-4.5470,Wind
